-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2019 through 12/31/2019 
Location: Latitude  40.7578   Longitude -74.1716 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 102.19 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
WS10M_MAX MERRA2 1/2x1/2 Maximum Wind Speed at 10 Meters (m/s) 
WS10M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 10 Meters (m/s) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (g/kg) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
WS50M_MIN MERRA2 1/2x1/2 Minimum Wind Speed at 50 Meters (m/s) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
WS50M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 50 Meters (m/s) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
WS50M MERRA2 1/2x1/2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX MERRA2 1/2x1/2 Maximum Wind Speed at 50 Meters (m/s) 
WS10M_MIN MERRA2 1/2x1/2 Minimum Wind Speed at 10 Meters (m/s) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2MWET MERRA2 1/2x1/2 Wet Bulb Temperature at 2 Meters (C) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M,WS50M_RANGE,WS10M_RANGE,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX,WS50M,WS10M
40.75781,-74.17159,2019,03,04,    6.78,    3.13,   91.61,    8.50,   -1.43,   -2.73,   -2.80,    1.07,   -7.43,   -1.52,    2.19,    1.87,    5.65,    3.43,    7.84,    5.30,    6.87,    4.34
40.75781,-74.17159,2019,03,05,    0.00,    1.87,   79.73,    7.74,   -6.75,   -9.38,   -9.07,   -2.47,  -10.21,   -6.45,    5.16,    2.69,    2.76,    2.01,    7.92,    4.70,    5.33,    3.40
40.75781,-74.17159,2019,03,06,    0.02,    1.57,   79.09,    6.40,   -7.87,  -11.54,  -10.87,   -5.52,  -11.91,   -8.57,    2.79,    2.01,    5.50,    3.69,    8.29,    5.70,    7.12,    4.56
40.75781,-74.17159,2019,03,07,    0.04,    1.85,   84.08,   10.46,   -7.46,   -9.42,   -9.23,   -2.39,  -12.85,   -7.18,    2.77,    1.88,    3.60,    2.55,    6.37,    4.44,    5.25,    3.38
40.75781,-74.17159,2019,03,08,    0.04,    2.39,   81.90,   10.04,   -4.39,   -6.07,   -6.15,    1.43,   -8.61,   -3.42,    4.71,    2.24,    0.18,    0.31,    4.89,    2.55,    3.04,    1.85
40.75781,-74.17159,2019,03,09,    0.00,    3.08,   83.49,   12.33,   -0.74,   -2.73,   -2.81,    6.09,   -6.24,   -0.27,    4.33,    2.21,    1.61,    1.18,    5.94,    3.39,    3.74,    2.18
40.75781,-74.17159,2019,03,10,   19.45,    4.43,   99.07,    4.39,    1.85,    2.14,    2.03,    4.71,    0.31,    2.28,    7.94,    5.42,    0.89,    0.55,    8.83,    5.97,    5.60,    3.27
40.75781,-74.17159,2019,03,11,    0.00,    4.13,   84.35,    7.21,    3.25,    1.14,    1.16,    7.50,    0.29,    3.55,    2.83,    1.68,    5.66,    3.35,    8.49,    5.03,    7.59,    4.15
40.75781,-74.17159,2019,03,12,    0.00,    2.99,   78.54,    6.75,    0.21,   -3.16,   -3.07,    3.89,   -2.86,    0.12,    2.80,    2.80,    4.97,    2.57,    7.77,    5.38,    7.01,    4.18
40.75781,-74.17159,2019,03,13,    0.05,    3.31,   78.88,    9.44,    1.44,   -1.75,   -1.89,    6.51,   -2.93,    1.51,    6.17,    2.40,    0.68,    0.56,    6.85,    2.96,    3.58,    1.98
40.75781,-74.17159,2019,03,14,    0.01,    5.25,   93.21,   10.48,    5.36,    4.57,    4.34,   10.56,    0.08,    5.61,    6.27,    3.47,    2.52,    1.58,    8.79,    5.05,    5.19,    3.03
40.75781,-74.17159,2019,03,15,   10.14,    8.61,   97.23,   10.19,   11.45,   11.64,   11.27,   17.95,    7.76,   12.08,    2.77,    2.68,    6.73,    3.34,    9.50,    6.02,    8.25,    4.77
40.75781,-74.17159,2019,03,16,    0.05,    3.94,   77.52,    8.68,    3.89,    0.51,    0.38,    7.25,   -1.43,    4.07,    3.61,    3.00,    6.22,    3.44,    9.83,    6.44,    8.27,    4.94
40.75781,-74.17159,2019,03,17,    0.00,    2.80,   72.72,    8.23,    0.67,   -4.02,   -3.91,    5.21,   -3.02,    0.27,    1.68,    1.29,    4.92,    2.62,    6.60,    3.90,    5.65,    3.25
40.75781,-74.17159,2019,03,18,    0.00,    2.78,   66.73,    8.57,    1.14,   -4.07,   -3.99,    5.45,   -3.11,    1.41,    3.42,    1.66,    1.10,    0.79,    4.53,    2.45,    2.65,    1.69
40.75781,-74.17159,2019,03,19,    0.00,    3.15,   70.01,    9.22,    1.63,   -2.32,   -2.31,    6.58,   -2.63,    2.56,    4.58,    1.79,    1.00,    0.76,    5.58,    2.55,    3.22,    1.89
40.75781,-74.17159,2019,03,20,    0.00,    3.84,   79.84,   10.85,    3.23,    0.29,    0.22,    9.04,   -1.81,    3.44,    4.03,    2.01,    2.20,    1.65,    6.23,    3.66,    4.62,    2.69
40.75781,-74.17159,2019,03,21,   22.12,    5.12,   96.12,    4.47,    4.52,    4.13,    4.12,    6.82,    2.36,    4.72,    5.47,    4.43,    4.55,    2.35,   10.02,    6.78,    6.85,    4.30
40.75781,-74.17159,2019,03,22,    8.00,    4.51,   85.97,    5.80,    4.19,    2.10,    2.08,    7.10,    1.29,    4.25,    6.01,    3.96,    6.32,    4.28,   12.33,    8.24,    9.77,    6.44
40.75781,-74.17159,2019,03,23,    0.31,    3.16,   74.29,    7.95,    1.70,   -2.54,   -2.51,    6.51,   -1.44,    1.51,    5.35,    4.49,    6.51,    3.36,   11.86,    7.85,   10.18,    6.53
40.75781,-74.17159,2019,03,24,    0.00,    4.29,   79.25,   14.87,    4.97,    1.75,    1.33,   11.98,   -2.89,    5.03,    4.42,    1.58,    3.70,    2.72,    8.12,    4.30,    6.21,    3.37
40.75781,-74.17159,2019,03,25,    0.27,    4.67,   82.61,    8.61,    5.45,    2.88,    2.83,    9.65,    1.04,    5.61,    4.56,    3.01,    1.82,    1.00,    6.39,    4.01,    4.63,    2.46
40.75781,-74.17159,2019,03,26,    0.00,    2.72,   66.59,    9.80,    1.47,   -4.36,   -4.25,    6.64,   -3.17,    1.14,    1.86,    2.36,    5.85,    3.04,    7.71,    5.41,    6.67,    4.02
